"","V1"
"1","-0.000745002531610377"
"2","0.000182719039505807"
"3","0.000408944841076607"
"4","-0.00118585270254887"
"5","0.00175960107912391"
"6","-0.000506172234142927"
"7","0.000171275929547903"
"8","0.00148306063151159"
"9","-0.000414124427910569"
"10","0.000429808699052865"
"11","0.00188570171343188"
"12","-0.00205215290464304"
"13","0.000928433723269731"
"14","0.00120268639340881"
"15","-0.00181884517618057"
"16","0.000587993711044154"
"17","0.000763128439544491"
"18","-0.00155432061704739"
"19","-0.00090342995753143"
"20","-7.9550197510725e-05"
"21","-0.00133147950736838"
"22","0.00120509659730822"
